Carimbo de data/hora,"Aceita participar?",Qual sua idade?  ,Qual o seu curso atual?  ,Qual o seu semestre atual?  ,Qual o seu principal objetivo na TI?  ,"Você já participou de algum projeto, pesquisa ou extensão relacionado a jogos digitais?  ",Você joga jogos digitais atualmente?  ,Você tem interesse em trabalhar na área de desenvolvimento de jogos?  ,Você sabia que existem as disciplinas optativas Introdução ao Desenvolvimento de Jogos (QXD0078) e Jogos Eletrônicos (QXD0205) no campus?  ,Você já tentou se matricular em alguma dessas disciplinas?  ,"Caso não tenha conseguido cursar, isso afetou de alguma forma sua motivação em relação ao curso?  ","Na sua opinião, deveria haver mais disciplinas obrigatórias ou optativas voltadas para jogos no Campus Quixadá?  ",Você considera que a falta de oferta suficiente de disciplinas de jogos contribui para a desmotivação acadêmica de alguns alunos?  ,O seu interesse por jogos digitais influenciou sua decisão de cursar uma graduação em T.I?  ,"Antes de entrar na UFC Quixadá, você já pensava em trabalhar com jogos digitais?  ",Você acredita que mais disciplinas de jogos poderiam aumentar o interesse e a motivação dos alunos nos cursos da UFC Quixadá?  ,"Você conhece colegas que entraram no curso por causa do interesse em jogos, mas ficaram frustrados/desmotivados pela falta de disciplinas na área?  ","Você já ouviu falar de algum grupo, projeto ou célula de desenvolvimento de jogos digitais dentro da UFC Quixadá?  ",Você já participou ou participa de algum grupo de desenvolvimento de jogos digitais?  ,"Na sua opinião, a existência de grupos de desenvolvimento de jogos dentro da universidade poderia aumentar a motivação acadêmica dos alunos interessados em jogos digitais?  ",Deixe aqui seus comentários ou sugestões sobre como o Campus poderia melhorar a oferta de conteúdos relacionados a jogos digitais:  
23/09/2025 19:32:45,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,4º Semestre,Desenvolver Jogos Digitais,Não,Raramente,"Tenho interesse, mas não é minha prioridade","Sim, sabia de ambas","Sim, mas não consegui vaga","Sim, me desmotivou bastante","Sim, ambos",Sim,"Sim, foi o principal motivo","Sim, era meu objetivo principal",Sim,"Sim, conheço vários","Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,
24/09/2025 09:46:08,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 21 a 23 anos,Ciência da Computação,12°,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente","Sim, é meu maior interesse",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,"Sim, consegui cursar",,"Sim, ambos",Sim,"Não, não teve influência","Tinha interesse, mas também em outras áreas",Talvez,Não conheço casos assim,"Sim, conheço bem","Não, mas tenho interesse em participar",Sim,
24/09/2025 09:46:39,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,Menos de 18 anos,Ciência da Computação,2º Semestre,Seguir a área acadêmica,Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade","Sim, sabia de ambas",Não tentei,Não afetou minha motivação,"Sim, optativas",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,"Colocando mais cadeiras optativas, criando eventos para compartilhar informações sobre."
24/09/2025 09:47:11,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 21 a 23 anos,Sistemas da Informação,8º Semestre,Desenvolver meus próprios sistemas,Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade","Sim, sabia de ambas","Sim, mas não consegui vaga",Não afetou minha motivação,"Sim, ambos",Talvez,"Não, não teve influência","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço alguns","Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,
24/09/2025 09:47:19,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 21 a 23 anos,Sistemas da Informação,4º Semestre,Exercer uma profissão relacionada ao meu curso,Sim,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade","Sim, sabia de ambas","Sim, mas não consegui vaga",,"Sim, optativas",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço alguns",Não conheço,"Não, mas tenho interesse em participar",Sim,
24/09/2025 09:47:40,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 21 a 23 anos,Engenharia de Software,9º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente",Pouco interesse,Sabia de apenas de Introdução ao Desenvolvimento de Jogos,"Sim, consegui cursar",,Não vejo necessidade,Não,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Talvez,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, e não tenho interesse",Sim,
24/09/2025 09:48:09,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Ciência da Computação,6º Semestre,Desenvolver Jogos Digitais,Não,"Sim, frequentemente","Sim, é meu maior interesse",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,"Sim, mas não consegui vaga","Sim, me desmotivou um pouco","Sim, optativas",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,
24/09/2025 09:49:40,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 21 a 23 anos,Sistemas da Informação,4º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,Não afetou minha motivação,"Sim, obrigatórias",Sim,"Não, não teve influência","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço alguns","Sim, conheço bem",Já participei no passado,Sim,
24/09/2025 09:50:33,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Sistemas da Informação,4º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente",Pouco interesse,Não,Não sabia da existência delas,Não afetou minha motivação,"Sim, optativas",Não,"Não, não teve influência","Não, nunca pensei nisso",Talvez,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Talvez,
24/09/2025 09:51:40,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 21 a 23 anos,Engenharia de Software,5º Semestre,Exercer uma profissão relacionada ao meu curso,Sim,"Sim, às vezes","Tenho interesse, mas não é minha prioridade","Sim, sabia de ambas","Sim, mas não consegui vaga","Sim, me desmotivou um pouco","Sim, optativas",Sim,"Sim, foi o principal motivo","Sim, era meu objetivo principal",Sim,"Sim, conheço alguns","Sim, conheço bem",Já participei no passado,Sim,
24/09/2025 09:52:17,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Design Digital,6º Semestre,Exercer uma profissão relacionada ao meu curso,Não,Raramente,Pouco interesse,Sabia de apenas de Jogos Eletrônicos,Não tentei,,Não vejo necessidade,Nunca pensei a respeito,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Talvez,"Sim, conheço alguns","Sim, conheço bem",Já participei no passado,Sim,"Antigamente eu participava de uma célula de criação de jogos, gostava mt do pessoal mas não me sentia engajada tanto por nunca ter progamado naquela linguagem (Godot) tanto por me sentir atrasada e desmotivada em torno dos colegas e na célula em geral... acredito que tanto os alunos de design quando o restante do curso podem se juntar e formar uma célula que tenha uma boa divulgação de certa forma e internamente uma melhor orientação tanto quanto o incetivo aos alunos na célula a continuar na mesma 😸😸😸 ia ser bem legal!"
24/09/2025 09:53:24,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Sistemas da Informação,2º Semestre,Exercer uma profissão relacionada ao meu curso,Não,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade",Não,Não tentei,,"Sim, optativas",Nunca pensei a respeito,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Talvez,Não conheço casos assim,"Já ouvi falar, mas não sei detalhes","Não, mas tenho interesse em participar",Sim,
24/09/2025 09:54:09,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,4º Semestre,Exercer uma profissão relacionada ao meu curso,Sim,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,,"Sim, optativas",Sim,"Sim, foi o principal motivo","Sim, era meu objetivo principal",Sim,"Sim, conheço alguns","Sim, conheço bem",Já participei no passado,Sim,
24/09/2025 09:54:58,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Sistemas da Informação,4º Semestre,Exercer uma profissão relacionada ao meu curso,Sim,"Sim, frequentemente","Tenho interesse, mas não é minha prioridade",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,Não afetou minha motivação,"Sim, optativas",Talvez,"Não, não teve influência","Não, nunca pensei nisso",Sim,"Sim, conheço alguns","Sim, conheço bem","Não, mas tenho interesse em participar",Sim,"Aumentando o numero de turmas, ou novas ofertas de cadeiras. Pois, todo semestre as cadeiras relacionados a desenvolvimento de jogos digitais, o numero de inscrito excede o numero de vagas"
24/09/2025 09:55:47,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,2º Semestre,Desenvolver Jogos Digitais,Sim,"Sim, frequentemente","Sim, é meu maior interesse",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,Não tentei,,"Sim, optativas",Talvez,"Sim, foi um dos motivos","Sim, era meu objetivo principal",Sim,Não conheço casos assim,"Sim, conheço bem",Já participei no passado,Sim,Destrinchar a área de desenvolvimento para que quem tenha interesse na parte artística não tenha que programar e virse versa
24/09/2025 09:57:13,Declaro que li e compreendi este termo e concordo em participar da pesquisa.,De 18 a 20 anos,Engenharia de Software,4º Semestre,Exercer uma profissão relacionada ao meu curso,Não,Raramente,"Tenho interesse, mas não é minha prioridade",Sabia de apenas de Introdução ao Desenvolvimento de Jogos,"Sim, mas não consegui vaga","Sim, me desmotivou um pouco","Sim, obrigatórias",Sim,"Sim, foi um dos motivos","Tinha interesse, mas também em outras áreas",Sim,"Sim, conheço alguns",Não conheço,"Sim, atualmente participo",Sim,.
